year,month,time,anomaly
1959,1,1959,0.16
1959,2,1959.083333,0.09
1959,3,1959.166667,0.21
1959,4,1959.25,0.12
1959,5,1959.333333,0.06
1959,6,1959.416667,0.11
1959,7,1959.5,0.08
1959,8,1959.583333,0.08
1959,9,1959.666667,0.11
1959,10,1959.75,0
1959,11,1959.833333,-0.06
1959,12,1959.916667,0.02
1960,1,1960,0.04
1960,2,1960.083333,0.21
1960,3,1960.166667,-0.18
1960,4,1960.25,-0.06
1960,5,1960.333333,-0.05
1960,6,1960.416667,0.09
1960,7,1960.5,0.06
1960,8,1960.583333,0.09
1960,9,1960.666667,0.11
1960,10,1960.75,0.06
1960,11,1960.833333,-0.04
1960,12,1960.916667,0.27
1961,1,1961,0.13
1961,2,1961.083333,0.2
1961,3,1961.166667,0.17
1961,4,1961.25,0.15
1961,5,1961.333333,0.17
1961,6,1961.416667,0.15
1961,7,1961.5,0.07
1961,8,1961.583333,0.05
1961,9,1961.666667,0.04
1961,10,1961.75,-0.02
1961,11,1961.833333,0.04
1961,12,1961.916667,-0.01
1962,1,1962,0.12
1962,2,1962.083333,0.17
1962,3,1962.166667,0.17
1962,4,1962.25,0.1
1962,5,1962.333333,0.07
1962,6,1962.416667,0.04
1962,7,1962.5,0.12
1962,8,1962.583333,0.08
1962,9,1962.666667,0.1
1962,10,1962.75,0.12
1962,11,1962.833333,0.09
1962,12,1962.916667,0.11
1963,1,1963,0.06
1963,2,1963.083333,0.27
1963,3,1963.166667,-0.02
1963,4,1963.25,0.02
1963,5,1963.333333,0.04
1963,6,1963.416666,0.05
1963,7,1963.5,0.13
1963,8,1963.583333,0.18
1963,9,1963.666666,0.18
1963,10,1963.75,0.23
1963,11,1963.833333,0.21
1963,12,1963.916666,0.09
1964,1,1964,0.01
1964,2,1964.083333,-0.06
1964,3,1964.166666,-0.16
1964,4,1964.25,-0.2
1964,5,1964.333333,-0.09
1964,6,1964.416666,-0.07
1964,7,1964.5,-0.08
1964,8,1964.583333,-0.16
1964,9,1964.666666,-0.19
1964,10,1964.75,-0.25
1964,11,1964.833333,-0.21
1964,12,1964.916666,-0.25
1965,1,1965,-0.07
1965,2,1965.083333,-0.18
1965,3,1965.166666,-0.09
1965,4,1965.25,-0.18
1965,5,1965.333333,-0.08
1965,6,1965.416666,-0.04
1965,7,1965.5,-0.07
1965,8,1965.583333,-0.05
1965,9,1965.666666,-0.03
1965,10,1965.75,0.02
1965,11,1965.833333,-0.06
1965,12,1965.916666,-0.01
1966,1,1966,-0.05
1966,2,1966.083333,-0.03
1966,3,1966.166666,0.02
1966,4,1966.25,-0.07
1966,5,1966.333333,-0.04
1966,6,1966.416666,0.07
1966,7,1966.5,0.1
1966,8,1966.583333,0.05
1966,9,1966.666666,0.02
1966,10,1966.75,-0.07
1966,11,1966.833333,-0.03
1966,12,1966.916666,-0.08
1967,1,1967,-0.09
1967,2,1967.083333,-0.17
1967,3,1967.166666,0.02
1967,4,1967.25,0.01
1967,5,1967.333333,0.15
1967,6,1967.416666,-0.03
1967,7,1967.5,0
1967,8,1967.583333,0.01
1967,9,1967.666666,-0.03
1967,10,1967.75,0.15
1967,11,1967.833333,0
1967,12,1967.916666,-0.02
1968,1,1968,-0.2
1968,2,1968.083333,-0.11
1968,3,1968.166666,0.15
1968,4,1968.25,-0.07
1968,5,1968.333333,-0.09
1968,6,1968.416666,-0.03
1968,7,1968.5,-0.01
1968,8,1968.583333,0.01
1968,9,1968.666666,0
1968,10,1968.75,0.06
1968,11,1968.833333,0.01
1968,12,1968.916666,-0.03
1969,1,1969,-0.09
1969,2,1969.083333,-0.08
1969,3,1969.166666,0.12
1969,4,1969.25,0.18
1969,5,1969.333333,0.19
1969,6,1969.416666,0.08
1969,7,1969.5,0.1
1969,8,1969.583333,0.11
1969,9,1969.666666,0.09
1969,10,1969.75,0.09
1969,11,1969.833333,0.21
1969,12,1969.916666,0.28
1970,1,1970,0.14
1970,2,1970.083333,0.24
1970,3,1970.166666,0.06
1970,4,1970.25,0.13
1970,5,1970.333333,0.05
1970,6,1970.416666,0.05
1970,7,1970.5,0.02
1970,8,1970.583333,0.02
1970,9,1970.666666,0.04
1970,10,1970.75,-0.02
1970,11,1970.833333,0.04
1970,12,1970.916666,-0.07
1971,1,1971,0.01
1971,2,1971.083333,-0.19
1971,3,1971.166666,-0.1
1971,4,1971.25,-0.1
1971,5,1971.333333,-0.07
1971,6,1971.416666,-0.12
1971,7,1971.499999,-0.04
1971,8,1971.583333,-0.04
1971,9,1971.666666,-0.03
1971,10,1971.749999,-0.08
1971,11,1971.833333,0.03
1971,12,1971.916666,-0.05
1972,1,1971.999999,-0.25
1972,2,1972.083333,-0.15
1972,3,1972.166666,0.03
1972,4,1972.249999,0.07
1972,5,1972.333333,0.03
1972,6,1972.416666,0.08
1972,7,1972.499999,0.07
1972,8,1972.583333,0.1
1972,9,1972.666666,0.03
1972,10,1972.749999,0.1
1972,11,1972.833333,0.08
1972,12,1972.916666,0.26
1973,1,1972.999999,0.28
1973,2,1973.083333,0.41
1973,3,1973.166666,0.37
1973,4,1973.249999,0.29
1973,5,1973.333333,0.23
1973,6,1973.416666,0.24
1973,7,1973.499999,0.16
1973,8,1973.583333,0.12
1973,9,1973.666666,0.1
1973,10,1973.749999,0.07
1973,11,1973.833333,0.03
1973,12,1973.916666,0.03
1974,1,1973.999999,-0.19
1974,2,1974.083333,-0.24
1974,3,1974.166666,-0.03
1974,4,1974.249999,-0.05
1974,5,1974.333333,-0.02
1974,6,1974.416666,-0.03
1974,7,1974.499999,0.02
1974,8,1974.583333,0.04
1974,9,1974.666666,-0.01
1974,10,1974.749999,-0.06
1974,11,1974.833333,-0.06
1974,12,1974.916666,-0.09
1975,1,1974.999999,0.11
1975,2,1975.083333,0.06
1975,3,1975.166666,0.12
1975,4,1975.249999,0.08
1975,5,1975.333333,0.08
1975,6,1975.416666,0.06
1975,7,1975.499999,0.03
1975,8,1975.583333,-0.04
1975,9,1975.666666,0.04
1975,10,1975.749999,-0.12
1975,11,1975.833333,-0.16
1975,12,1975.916666,-0.1
1976,1,1975.999999,-0.02
1976,2,1976.083333,-0.12
1976,3,1976.166666,-0.22
1976,4,1976.249999,0
1976,5,1976.333333,-0.12
1976,6,1976.416666,-0.08
1976,7,1976.499999,-0.07
1976,8,1976.583333,-0.04
1976,9,1976.666666,-0.02
1976,10,1976.749999,-0.19
1976,11,1976.833333,-0.03
1976,12,1976.916666,0.11
1977,1,1976.999999,0.13
1977,2,1977.083333,0.26
1977,3,1977.166666,0.31
1977,4,1977.249999,0.29
1977,5,1977.333333,0.27
1977,6,1977.416666,0.27
1977,7,1977.499999,0.19
1977,8,1977.583333,0.16
1977,9,1977.666666,0.19
1977,10,1977.749999,0.12
1977,11,1977.833333,0.26
1977,12,1977.916666,0.12
1978,1,1977.999999,0.17
1978,2,1978.083333,0.15
1978,3,1978.166666,0.23
1978,4,1978.249999,0.13
1978,5,1978.333333,0.08
1978,6,1978.416666,0.06
1978,7,1978.499999,0.07
1978,8,1978.583333,0.01
1978,9,1978.666666,0.09
1978,10,1978.749999,0.07
1978,11,1978.833333,0.2
1978,12,1978.916666,0.14
1979,1,1978.999999,0.15
1979,2,1979.083333,0.05
1979,3,1979.166666,0.23
1979,4,1979.249999,0.11
1979,5,1979.333333,0.17
1979,6,1979.416666,0.22
1979,7,1979.499999,0.2
1979,8,1979.583333,0.24
1979,9,1979.666666,0.26
1979,10,1979.749999,0.29
1979,11,1979.833332,0.29
1979,12,1979.916666,0.52
1980,1,1979.999999,0.33
1980,2,1980.083332,0.39
1980,3,1980.166666,0.28
1980,4,1980.249999,0.33
1980,5,1980.333332,0.37
1980,6,1980.416666,0.27
1980,7,1980.499999,0.23
1980,8,1980.583332,0.21
1980,9,1980.666666,0.21
1980,10,1980.749999,0.19
1980,11,1980.833332,0.31
1980,12,1980.916666,0.27
1981,1,1980.999999,0.51
1981,2,1981.083332,0.4
1981,3,1981.166666,0.44
1981,4,1981.249999,0.36
1981,5,1981.333332,0.27
1981,6,1981.416666,0.31
1981,7,1981.499999,0.25
1981,8,1981.583332,0.24
1981,9,1981.666666,0.18
1981,10,1981.749999,0.18
1981,11,1981.833332,0.27
1981,12,1981.916666,0.48
1982,1,1981.999999,0.14
1982,2,1982.083332,0.2
1982,3,1982.166666,0.1
1982,4,1982.249999,0.22
1982,5,1982.333332,0.21
1982,6,1982.416666,0.14
1982,7,1982.499999,0.16
1982,8,1982.583332,0.15
1982,9,1982.666666,0.24
1982,10,1982.749999,0.18
1982,11,1982.833332,0.15
1982,12,1982.916666,0.43
1983,1,1982.999999,0.53
1983,2,1983.083332,0.49
1983,3,1983.166666,0.43
1983,4,1983.249999,0.29
1983,5,1983.333332,0.32
1983,6,1983.416666,0.3
1983,7,1983.499999,0.3
1983,8,1983.583332,0.36
1983,9,1983.666666,0.34
1983,10,1983.749999,0.24
1983,11,1983.833332,0.45
1983,12,1983.916666,0.28
1984,1,1983.999999,0.3
1984,2,1984.083332,0.18
1984,3,1984.166666,0.31
1984,4,1984.249999,0.14
1984,5,1984.333332,0.31
1984,6,1984.416666,0.14
1984,7,1984.499999,0.15
1984,8,1984.583332,0.19
1984,9,1984.666666,0.18
1984,10,1984.749999,0.14
1984,11,1984.833332,0.06
1984,12,1984.916666,-0.08
1985,1,1984.999999,0.23
1985,2,1985.083332,0.06
1985,3,1985.166666,0.2
1985,4,1985.249999,0.15
1985,5,1985.333332,0.22
1985,6,1985.416666,0.15
1985,7,1985.499999,0.1
1985,8,1985.583332,0.16
1985,9,1985.666666,0.14
1985,10,1985.749999,0.15
1985,11,1985.833332,0.14
1985,12,1985.916666,0.22
1986,1,1985.999999,0.32
1986,2,1986.083332,0.31
1986,3,1986.166666,0.3
1986,4,1986.249999,0.27
1986,5,1986.333332,0.27
1986,6,1986.416666,0.24
1986,7,1986.499999,0.17
1986,8,1986.583332,0.2
1986,9,1986.666666,0.18
1986,10,1986.749999,0.22
1986,11,1986.833332,0.16
1986,12,1986.916666,0.23
1987,1,1986.999999,0.32
1987,2,1987.083332,0.5
1987,3,1987.166666,0.27
1987,4,1987.249999,0.31
1987,5,1987.333332,0.36
1987,6,1987.416666,0.33
1987,7,1987.499999,0.44
1987,8,1987.583332,0.4
1987,9,1987.666666,0.45
1987,10,1987.749999,0.35
1987,11,1987.833332,0.35
1987,12,1987.916666,0.54
1988,1,1987.999999,0.56
1988,2,1988.083332,0.44
1988,3,1988.166665,0.53
1988,4,1988.249999,0.47
1988,5,1988.333332,0.41
1988,6,1988.416665,0.41
1988,7,1988.499999,0.37
1988,8,1988.583332,0.35
1988,9,1988.666665,0.35
1988,10,1988.749999,0.31
1988,11,1988.833332,0.21
1988,12,1988.916665,0.34
1989,1,1988.999999,0.17
1989,2,1989.083332,0.31
1989,3,1989.166665,0.35
1989,4,1989.249999,0.29
1989,5,1989.333332,0.28
1989,6,1989.416665,0.26
1989,7,1989.499999,0.32
1989,8,1989.583332,0.32
1989,9,1989.666665,0.31
1989,10,1989.749999,0.29
1989,11,1989.833332,0.23
1989,12,1989.916665,0.41
1990,1,1989.999999,0.36
1990,2,1990.083332,0.41
1990,3,1990.166665,0.77
1990,4,1990.249999,0.54
1990,5,1990.333332,0.47
1990,6,1990.416665,0.42
1990,7,1990.499999,0.39
1990,8,1990.583332,0.39
1990,9,1990.666665,0.33
1990,10,1990.749999,0.43
1990,11,1990.833332,0.48
1990,12,1990.916665,0.42
1991,1,1990.999999,0.43
1991,2,1991.083332,0.46
1991,3,1991.166665,0.37
1991,4,1991.249999,0.52
1991,5,1991.333332,0.41
1991,6,1991.416665,0.49
1991,7,1991.499999,0.42
1991,8,1991.583332,0.37
1991,9,1991.666665,0.35
1991,10,1991.749999,0.29
1991,11,1991.833332,0.3
1991,12,1991.916665,0.28
1992,1,1991.999999,0.46
1992,2,1992.083332,0.43
1992,3,1992.166665,0.44
1992,4,1992.249999,0.31
1992,5,1992.333332,0.33
1992,6,1992.416665,0.28
1992,7,1992.499999,0.11
1992,8,1992.583332,0.11
1992,9,1992.666665,0.05
1992,10,1992.749999,0.05
1992,11,1992.833332,0.04
1992,12,1992.916665,0.25
1993,1,1992.999999,0.36
1993,2,1993.083332,0.38
1993,3,1993.166665,0.41
1993,4,1993.249999,0.31
1993,5,1993.333332,0.36
1993,6,1993.416665,0.34
1993,7,1993.499999,0.27
1993,8,1993.583332,0.22
1993,9,1993.666665,0.18
1993,10,1993.749999,0.23
1993,11,1993.833332,0.07
1993,12,1993.916665,0.27
1994,1,1993.999999,0.27
1994,2,1994.083332,0.08
1994,3,1994.166665,0.38
1994,4,1994.249999,0.37
1994,5,1994.333332,0.41
1994,6,1994.416665,0.4
1994,7,1994.499999,0.31
1994,8,1994.583332,0.3
1994,9,1994.666665,0.33
1994,10,1994.749999,0.42
1994,11,1994.833332,0.46
1994,12,1994.916665,0.42
1995,1,1994.999999,0.56
1995,2,1995.083332,0.74
1995,3,1995.166665,0.5
1995,4,1995.249999,0.45
1995,5,1995.333332,0.37
1995,6,1995.416665,0.46
1995,7,1995.499999,0.42
1995,8,1995.583332,0.5
1995,9,1995.666665,0.41
1995,10,1995.749999,0.44
1995,11,1995.833332,0.46
1995,12,1995.916665,0.33
1996,1,1995.999999,0.26
1996,2,1996.083332,0.47
1996,3,1996.166665,0.35
1996,4,1996.249999,0.27
1996,5,1996.333332,0.39
1996,6,1996.416665,0.35
1996,7,1996.499998,0.33
1996,8,1996.583332,0.35
1996,9,1996.666665,0.25
1996,10,1996.749998,0.21
1996,11,1996.833332,0.29
1996,12,1996.916665,0.39
1997,1,1996.999998,0.34
1997,2,1997.083332,0.44
1997,3,1997.166665,0.5
1997,4,1997.249998,0.43
1997,5,1997.333332,0.42
1997,6,1997.416665,0.54
1997,7,1997.499998,0.5
1997,8,1997.583332,0.55
1997,9,1997.666665,0.61
1997,10,1997.749998,0.64
1997,11,1997.833332,0.59
1997,12,1997.916665,0.63
